date;time;F__100750_cut.csv__Column_1_55
01.12.2017;00:15;14,90725
01.12.2017;00:30;16,63285
01.12.2017;00:45;14,64267
01.12.2017;01:00;14,79499
01.12.2017;01:15;15,49948
01.12.2017;01:30;16,11667
01.12.2017;01:45;17,37656
01.12.2017;02:00;19,15186
01.12.2017;02:15;19,30038
01.12.2017;02:30;17,81905
01.12.2017;02:45;15,42548
01.12.2017;03:00;14,28096
01.12.2017;03:15;13,75289
01.12.2017;03:30;13,89508
01.12.2017;03:45;13,86972
01.12.2017;04:00;13,57564
01.12.2017;04:15;13,65984
01.12.2017;04:30;13,90782
01.12.2017;04:45;13,92036
01.12.2017;05:00;13,87026
01.12.2017;05:15;14,02514
01.12.2017;05:30;13,65221
01.12.2017;05:45;13,84547
01.12.2017;06:00;14,03108
01.12.2017;06:15;14,58422
01.12.2017;06:30;15,27916
01.12.2017;06:45;15,05917
01.12.2017;07:00;15,75091
01.12.2017;07:15;17,16514
01.12.2017;07:30;18,38301
01.12.2017;07:45;19,81256
01.12.2017;08:00;19,48399
01.12.2017;08:15;20,88874
01.12.2017;08:30;20,60008
01.12.2017;08:45;20,31077
01.12.2017;09:00;21,29351
01.12.2017;09:15;21,28128
01.12.2017;09:30;22,18632
01.12.2017;09:45;22,89268
01.12.2017;10:00;24,63208
01.12.2017;10:15;24,48039
01.12.2017;10:30;25,03581
01.12.2017;10:45;24,67729
01.12.2017;11:00;25,03386
01.12.2017;11:15;25,51003
01.12.2017;11:30;24,74808
01.12.2017;11:45;24,67662
01.12.2017;12:00;23,56054
01.12.2017;12:15;23,72972
01.12.2017;12:30;22,86943
01.12.2017;12:45;23,01757
01.12.2017;13:00;23,64532
01.12.2017;13:15;22,93606
01.12.2017;13:30;23,07278
01.12.2017;13:45;22,58121
01.12.2017;14:00;22,83274
01.12.2017;14:15;22,3405
01.12.2017;14:30;22,24217
01.12.2017;14:45;23,80466
01.12.2017;15:00;23,92072
01.12.2017;15:15;27,1823
01.12.2017;15:30;26,7058
01.12.2017;15:45;27,87488
01.12.2017;16:00;26,86976
01.12.2017;16:15;26,58456
01.12.2017;16:30;26,63615
01.12.2017;16:45;27,34269
01.12.2017;17:00;26,65191
01.12.2017;17:15;26,57795
01.12.2017;17:30;27,15474
01.12.2017;17:45;26,71502
01.12.2017;18:00;27,51841
01.12.2017;18:15;25,66883
01.12.2017;18:30;23,92402
01.12.2017;18:45;23,2457
01.12.2017;19:00;23,60157
